Australian Bureau of Statistics

"2021 Census - employment, income and education"
"INCP Total Personal Income (weekly) and 1-digit level HEAP Level of Highest Educational Attainment by SA1 (UR) by 1-digit level LANP Language Used at Home"
"Counting: Person Records"

Filters:
"Default Summation","Person Records"

" Negative income,  Postgraduate Degree Level"
"1-digit level LANP Language Used at Home","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Total",
"SA1 (UR)",
"Segment 01",84,0,0,4,3,0,20,0,0,123,
"Segment 02",107,7,7,0,10,4,27,0,0,161,
"Segment 03",84,3,10,3,8,5,14,0,0,122,
"Segment 04",33,0,3,0,3,0,5,0,0,49,
"Segment 05",44,3,5,6,4,0,18,0,0,83,
"Segment 06",23,0,0,0,3,3,6,0,0,39,
"Segment 07",11,0,0,7,20,3,7,0,0,54,
"Segment 08",82,4,11,8,11,5,20,0,0,147,
"Segment 09",31,6,0,12,8,4,76,0,0,130,
"Segment 10",21,0,6,10,13,5,19,0,0,67,
"Segment 11",31,0,7,6,10,9,31,0,0,92,
"Segment 12",18,0,3,0,0,0,5,0,0,27,
"Segment 13",25,3,8,5,33,0,15,0,0,94,
"Segment 14",31,6,4,0,10,0,7,0,0,59,
"Segment 15",6,0,0,3,27,0,6,0,0,40,
"Segment 16",59,3,3,6,17,9,91,0,0,183,
"Segment 17",15,3,3,0,22,9,13,0,0,65,
"Segment 18",32,0,0,5,15,0,37,0,0,95,
"Segment 19",21,0,0,0,10,5,5,0,0,40,
"Segment 20",44,7,0,3,10,3,15,0,0,87,
"Segment 21",45,6,3,4,0,0,30,0,0,95,
"Segment 22",10,0,0,6,15,5,48,0,0,91,
"Segment 23",21,4,3,5,9,3,12,0,0,58,
"Segment 24",18,0,0,0,6,0,5,0,0,25,
"Segment 25",21,5,0,5,14,4,17,0,0,75,
"Segment 26",8,6,0,12,28,6,10,0,3,66,
"Segment 27",23,0,5,22,26,6,19,0,0,99,
"Segment 28",0,0,0,0,7,8,0,0,0,20,
"Segment 29",12,3,3,5,13,0,4,0,0,36,
"Segment 30",11,0,0,0,4,0,12,0,0,27,
"Segment 31",45,4,0,8,33,0,27,0,5,117,
"Segment 32",15,3,0,0,4,3,6,0,0,33,
"Segment 33",11,4,0,0,5,0,0,0,0,20,
"Segment 34",24,0,0,0,0,0,0,0,0,27,
"Segment 35",33,0,0,3,0,5,5,0,0,44,
"Segment 36",21,5,0,0,0,0,0,0,0,25,
"Segment 37",20,0,0,0,0,0,6,0,0,36,
"Segment 38",39,6,0,0,0,0,8,0,0,49,
"Segment 39",7,0,0,0,0,0,0,0,0,6,
"Segment 40",25,0,0,3,3,0,4,0,0,37,
"Segment 41",9,0,0,0,0,0,0,0,0,11,
"Segment 42",0,0,0,0,0,0,0,0,0,4,
"Segment 43",9,0,0,0,3,0,0,0,0,14,
"Segment 44",69,0,0,0,0,0,3,0,0,81,
"Segment 45",33,0,0,0,0,0,0,0,0,38,
"Segment 46",11,0,0,0,0,0,0,0,0,17,
"Segment 47",3,0,0,0,0,0,0,0,0,3,
"Segment 48",4,0,0,0,0,0,0,0,0,4,
"Segment 50",0,0,0,0,0,0,0,0,0,0,
"Total",1345,120,83,168,424,125,634,0,19,2924,


" Negative income,  Graduate Diploma and Graduate Certificate Level"
"1-digit level LANP Language Used at Home","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Total",
"SA1 (UR)",
"Segment 01",37,3,0,0,0,0,0,0,0,40,
"Segment 02",42,0,0,0,0,0,3,0,0,51,
"Segment 03",35,0,0,0,0,0,3,0,0,41,
"Segment 04",15,0,0,0,0,0,0,0,0,19,
"Segment 05",16,0,0,0,0,0,0,0,0,16,
"Segment 06",6,0,0,0,0,0,0,0,0,12,
"Segment 07",0,0,0,0,3,0,0,0,0,6,
"Segment 08",41,4,4,0,0,3,4,0,0,56,
"Segment 09",10,0,0,0,3,0,9,0,0,22,
"Segment 10",13,0,0,3,0,0,0,0,0,12,
"Segment 11",22,0,3,0,3,0,0,0,0,44,
"Segment 12",10,0,0,0,0,3,0,0,0,13,
"Segment 13",22,0,0,3,11,0,0,0,4,43,
"Segment 14",21,0,0,0,0,0,3,0,0,30,
"Segment 15",4,0,0,0,0,0,0,0,0,7,
"Segment 16",10,0,0,0,5,0,7,0,0,24,
"Segment 17",4,0,0,3,7,3,0,0,0,15,
"Segment 18",15,3,0,0,0,0,4,0,0,23,
"Segment 19",12,0,0,0,0,0,0,0,0,12,
"Segment 20",26,0,4,0,0,0,5,0,0,37,
"Segment 21",11,0,0,0,0,0,6,0,0,24,
"Segment 22",8,0,0,0,6,0,6,0,0,16,
"Segment 23",17,7,0,3,6,0,0,0,0,23,
"Segment 24",22,0,0,0,0,0,0,0,0,25,
"Segment 25",22,0,0,0,4,0,9,0,0,33,
"Segment 26",0,0,0,0,0,4,0,0,0,9,
"Segment 27",10,0,0,10,0,0,5,0,0,18,
"Segment 28",8,0,0,0,0,4,5,0,0,7,
"Segment 29",14,0,0,3,0,0,0,0,3,20,
"Segment 30",13,0,0,0,0,0,0,0,0,17,
"Segment 31",14,4,0,0,0,0,9,0,0,24,
"Segment 32",6,0,0,0,0,0,0,0,0,12,
"Segment 33",18,0,0,0,0,0,0,0,0,19,
"Segment 34",22,0,0,0,0,0,0,0,0,22,
"Segment 35",26,0,0,0,0,0,0,0,0,25,
"Segment 36",24,0,0,0,0,0,0,0,0,24,
"Segment 37",29,0,0,0,0,0,0,0,0,29,
"Segment 38",22,0,0,0,0,0,0,0,0,25,
"Segment 39",9,0,0,0,0,0,0,0,0,9,
"Segment 40",16,0,0,0,0,0,0,0,0,16,
"Segment 41",14,0,0,0,0,0,0,0,0,14,
"Segment 42",4,0,0,0,0,0,0,0,0,4,
"Segment 43",4,0,0,0,0,0,0,0,0,4,
"Segment 44",43,0,0,0,0,0,0,0,0,44,
"Segment 45",10,0,0,0,0,0,0,0,0,9,
"Segment 46",27,0,0,0,0,0,0,0,0,27,
"Segment 47",0,0,0,0,0,0,0,0,0,0,
"Segment 48",0,0,0,0,0,0,0,0,0,3,
"Segment 50",0,0,0,0,0,0,0,0,0,0,
"Total",765,35,18,38,52,28,87,0,9,1029,


" Negative income,  Bachelor Degree Level"
"1-digit level LANP Language Used at Home","Northern European Languages","Southern European Languages","Eastern European Languages","Southwest and Central Asian Languages","Southern Asian Languages","Southeast Asian Languages","Eastern Asian Languages","Australian Indigenous Languages","Other Languages","Total",
"SA1 (UR)",
"Segment 01",223,11,6,6,0,13,53,0,0,312,
"Segment 02",280,27,5,9,7,12,37,0,3,378,
"Segment 03",272,10,4,7,7,5,29,0,0,328,
"Segment 04",131,9,9,8,5,8,12,0,0,178,
"Segment 05",159,9,4,8,4,7,23,0,0,208,
"Segment 06",61,5,3,8,22,10,17,0,0,123,
"Segment 07",57,3,4,27,35,16,21,0,4,170,
"Segment 08",269,18,9,12,12,9,63,0,3,390,
"Segment 09",83,5,3,15,19,14,126,0,0,265,
"Segment 10",72,7,4,34,20,15,28,0,5,183,
"Segment 11",121,25,6,17,16,28,59,0,3,274,
"Segment 12",87,4,4,3,6,18,12,0,0,133,
"Segment 13",107,8,11,29,82,34,32,0,13,306,
"Segment 14",125,9,4,3,9,15,10,0,4,182,
"Segment 15",29,4,10,9,33,11,18,0,0,117,
"Segment 16",125,22,7,34,17,41,269,0,3,523,
"Segment 17",60,0,7,14,30,47,33,0,0,197,
