GCCSA_CODE_2021,Per_age_15over_C11_M,Per_age_15over_C11_F,Per_age_15over_C11_P,Per_age_15over_C16_M,Per_age_15over_C16_F,Per_age_15over_C16_P,Per_age_15over_C21_M,Per_age_15over_C21_F,Per_age_15over_C21_P,Lfs_Em_FT_C11_M,Lfs_Em_FT_C11_F,Lfs_Em_FT_C11_P,Lfs_Em_FT_C16_M,Lfs_Em_FT_C16_F,Lfs_Em_FT_C16_P,Lfs_Em_FT_C21_M,Lfs_Em_FT_C21_F,Lfs_Em_FT_C21_P,Lfs_Em_PT_C11_M,Lfs_Em_PT_C11_F,Lfs_Em_PT_C11_P,Lfs_Em_PT_C16_M,Lfs_Em_PT_C16_F,Lfs_Em_PT_C16_P,Lfs_Em_PT_C21_M,Lfs_Em_PT_C21_F,Lfs_Em_PT_C21_P,Lfs_Em_AFWr_C11_M,Lfs_Em_AFWr_C11_F,Lfs_Em_AFWr_C11_P,Lfs_Em_AFWr_C16_M,Lfs_Em_AFWr_C16_F,Lfs_Em_AFWr_C16_P,Lfs_Em_AFWr_C21_M,Lfs_Em_AFWr_C21_F,Lfs_Em_AFWr_C21_P,Lfs_Unem_LFW_C11_M,Lfs_Unem_LFW_C11_F,Lfs_Unem_LFW_C11_P,Lfs_Unem_LFW_C16_M,Lfs_Unem_LFW_C16_F,Lfs_Unem_LFW_C16_P,Lfs_Unem_LFW_C21_M,Lfs_Unem_LFW_C21_F,Lfs_Unem_LFW_C21_P,Lfs_Tot_LForc_C11_M,Lfs_Tot_LForc_C11_F,Lfs_Tot_LForc_C11_P,Lfs_Tot_LForc_C16_M,Lfs_Tot_LForc_C16_F,Lfs_Tot_LForc_C16_P,Lfs_Tot_LForc_C21_M,Lfs_Tot_LForc_C21_F,Lfs_Tot_LForc_C21_P,N_LForc_C11_M,N_LForc_C11_F,N_LForc_C11_P,N_LForc_C16_M,N_LForc_C16_F,N_LForc_C16_P,N_LForc_C21_M,N_LForc_C21_F,N_LForc_C21_P,Pcnt_Unemp_C11_M,Pcnt_Unemp_C11_F,Pcnt_Unemp_C11_P,Pcnt_Unemp_C16_M,Pcnt_Unemp_C16_F,Pcnt_Unemp_C16_P,Pcnt_Unemp_C21_M,Pcnt_Unemp_C21_F,Pcnt_Unemp_C21_P,Pcnt_LForc_prt_C11_M,Pcnt_LForc_prt_C11_F,Pcnt_LForc_prt_C11_P,Pcnt_LForc_prt_C16_M,Pcnt_LForc_prt_C16_F,Pcnt_LForc_prt_C16_P,Pcnt_LForc_prt_C21_M,Pcnt_LForc_prt_C21_F,Pcnt_LForc_prt_C21_P,Pcnt_Emp_to_pop_C11_M,Pcnt_Emp_to_pop_C11_F,Pcnt_Emp_to_pop_C11_P,Pcnt_Emp_to_pop_C16_M,Pcnt_Emp_to_pop_C16_F,Pcnt_Emp_to_pop_C16_P,Pcnt_Emp_to_pop_C21_M,Pcnt_Emp_to_pop_C21_F,Pcnt_Emp_to_pop_C21_P,H_no_sc_qu_Po_De_C11_M,H_no_sc_qu_Po_De_C11_F,H_no_sc_qu_Po_De_C11_P,H_no_sc_qu_Po_De_C16_M,H_no_sc_qu_Po_De_C16_F,H_no_sc_qu_Po_De_C16_P,H_no_sc_qu_Po_De_C21_M,H_no_sc_qu_Po_De_C21_F,H_no_sc_qu_Po_De_C21_P,H_n_s_q_Gr_D_G_Ce_C11_M,H_n_s_q_Gr_D_G_Ce_C11_F,H_n_s_q_Gr_D_G_Ce_C11_P,H_n_s_q_Gr_D_G_Ce_C16_M,H_n_s_q_Gr_D_G_Ce_C16_F,H_n_s_q_Gr_D_G_Ce_C16_P,H_n_s_q_Gr_D_G_Ce_C21_M,H_n_s_q_Gr_D_G_Ce_C21_F,H_n_s_q_Gr_D_G_Ce_C21_P,H_n_s_q_BD_C11_M,H_n_s_q_BD_C11_F,H_n_s_q_BD_C11_P,H_n_s_q_BD_C16_M,H_n_s_q_BD_C16_F,H_n_s_q_BD_C16_P,H_n_s_q_BD_C21_M,H_n_s_q_BD_C21_F,H_n_s_q_BD_C21_P,H_n_s_q_AdDip_DL_C11_M,H_n_s_q_AdDip_DL_C11_F,H_n_s_q_AdDip_DL_C11_P,H_n_s_q_AdDip_DL_C16_M,H_n_s_q_AdDip_DL_C16_F,H_n_s_q_AdDip_DL_C16_P,H_n_s_q_AdDip_DL_C21_M,H_n_s_q_AdDip_DL_C21_F,H_n_s_q_AdDip_DL_C21_P,H_n_s_q_Cert_III_IV_C11_M,H_n_s_q_Cert_III_IV_C11_F,H_n_s_q_Cert_III_IV_C11_P,H_n_s_q_Cert_III_IV_C16_M,H_n_s_q_Cert_III_IV_C16_F,H_n_s_q_Cert_III_IV_C16_P,H_n_s_q_Cert_III_IV_C21_M,H_n_s_q_Cert_III_IV_C21_F,H_n_s_q_Cert_III_IV_C21_P,H_n_s_q_Cert_I_II_C11_M,H_n_s_q_Cert_I_II_C11_F,H_n_s_q_Cert_I_II_C11_P,H_n_s_q_Cert_I_II_C16_M,H_n_s_q_Cert_I_II_C16_F,H_n_s_q_Cert_I_II_C16_P,H_n_s_q_Cert_I_II_C21_M,H_n_s_q_Cert_I_II_C21_F,H_n_s_q_Cert_I_II_C21_P,H_n_s_q_Cert_Lev_nfd_C11_M,H_n_s_q_Cert_Lev_nfd_C11_F,H_n_s_q_Cert_Lev_nfd_C11_P,H_n_s_q_Cert_Lev_nfd_C16_M,H_n_s_q_Cert_Lev_nfd_C16_F,H_n_s_q_Cert_Lev_nfd_C16_P,H_n_s_q_Cert_Lev_nfd_C21_M,H_n_s_q_Cert_Lev_nfd_C21_F,H_n_s_q_Cert_Lev_nfd_C21_P,H_n_s_q_Cert_Lev_Tot_C11_M,H_n_s_q_Cert_Lev_Tot_C11_F,H_n_s_q_Cert_Lev_Tot_C11_P,H_n_s_q_Cert_Lev_Tot_C16_M,H_n_s_q_Cert_Lev_Tot_C16_F,H_n_s_q_Cert_Lev_Tot_C16_P,H_n_s_q_Cert_Lev_Tot_C21_M,H_n_s_q_Cert_Lev_Tot_C21_F,H_n_s_q_Cert_Lev_Tot_C21_P,Mi_Liv_SA_1yr_ag_C11_M,Mi_Liv_SA_1yr_ag_C11_F,Mi_Liv_SA_1yr_ag_C11_P,Mi_Liv_SA_1yr_ag_C16_M,Mi_Liv_SA_1yr_ag_C16_F,Mi_Liv_SA_1yr_ag_C16_P,Mi_Liv_SA_1yr_ag_C21_M,Mi_Liv_SA_1yr_ag_C21_F,Mi_Liv_SA_1yr_ag_C21_P,Mi_Liv_DA_1yr_ag_C11_M,Mi_Liv_DA_1yr_ag_C11_F,Mi_Liv_DA_1yr_ag_C11_P,Mi_Liv_DA_1yr_ag_C16_M,Mi_Liv_DA_1yr_ag_C16_F,Mi_Liv_DA_1yr_ag_C16_P,Mi_Liv_DA_1yr_ag_C21_M,Mi_Liv_DA_1yr_ag_C21_F,Mi_Liv_DA_1yr_ag_C21_P,Mi_Liv_SA_5yrs_ag_C11_M,Mi_Liv_SA_5yrs_ag_C11_F,Mi_Liv_SA_5yrs_ag_C11_P,Mi_Liv_SA_5yrs_ag_C16_M,Mi_Liv_SA_5yrs_ag_C16_F,Mi_Liv_SA_5yrs_ag_C16_P,Mi_Liv_SA_5yrs_ag_C21_M,Mi_Liv_SA_5yrs_ag_C21_F,Mi_Liv_SA_5yrs_ag_C21_P,Mi_Liv_DA_5yrs_ag_C11_M,Mi_Liv_DA_5yrs_ag_C11_F,Mi_Liv_DA_5yrs_ag_C11_P,Mi_Liv_DA_5yrs_ag_C16_M,Mi_Liv_DA_5yrs_ag_C16_F,Mi_Liv_DA_5yrs_ag_C16_P,Mi_Liv_DA_5yrs_ag_C21_M,Mi_Liv_DA_5yrs_ag_C21_F,Mi_Liv_DA_5yrs_ag_C21_P
1GSYD,1728563,1819894,3548459,1914319,2009384,3923699,2089990,2177951,4267941,844918,513276,1358195,910116,570101,1480218,825818,595468,1421283,200383,384394,584775,243811,438791,682604,283025,426181,709200,58695,61606,120298,51004,58889,109893,150421,149794,300220,66296,59286,125582,75540,70649,146187,71199,58338,129539,1170292,1018566,2188853,1280468,1138436,2418898,1330459,1229785,2560242,450626,699173,1149800,515705,751075,1266781,644658,832495,1477147,5.7,5.8,5.7,5.9,6.2,6,5.4,4.7,5.1,67.7,56,61.7,66.9,56.7,61.6,63.7,56.5,60,63.9,52.7,58.1,62.9,53.1,57.9,60.3,53.8,57,106687,92191,198881,146568,141536,288103,199182,201329,400516,21955,34303,56261,27023,43099,70126,33474,57329,90797,278281,322670,600957,344759,408011,752772,427347,504699,932044,137018,181496,318513,156478,209510,365985,178521,234209,412740,309421,129635,439049,322676,150290,472969,334527,171786,506312,13041,25042,38085,12031,23472,35501,13792,25483,39276,20942,39549,60493,31291,50927,82216,32608,51326,83932,343404,194223,537631,366002,224683,590687,380926,248599,629524,1721773,1791990,3513767,1813263,1882485,3695746,2029330,2090095,4119424,288405,300494,588904,347546,356148,703688,392938,398472,791407,1132317,1187172,2319489,1174212,1227940,2402155,1290585,1344906,2635497,744861,777758,1522619,895490,922420,1817909,998261,1018000,2016262
1RNSW,988729,1036112,2024847,1052625,1105645,2158269,1132855,1191247,2324100,425087,222341,647427,418122,234165,652283,444092,270003,714094,107977,245707,353682,123561,263915,387476,148567,292979,441543,35129,35140,70267,30345,34063,64409,42525,52779,95299,38444,31437,69874,43180,35238,78415,33535,26138,59669,606633,534619,1141253,615203,567378,1182577,668717,641894,1310611,328062,450959,779023,359272,457950,817220,387942,472692,860627,6.3,5.9,6.1,7,6.2,6.6,5,4.1,4.6,61.4,51.6,56.4,58.4,51.3,54.8,59,53.9,56.4,57.5,48.6,52.9,54.3,48.1,51.2,56.1,51.7,53.8,20976,18651,39629,27345,28670,56011,39498,45509,85002,9162,17079,26241,11268,21822,33093,14093,30609,44700,74896,110199,185094,87604,135225,222831,111242,172791,284036,57075,85820,142891,68254,108207,176462,78839,124131,202976,265754,113499,379255,288210,136405,424612,311647,169565,481216,9674,21043,30721,10304,20984,31288,11590,22082,33668,11787,25471,37264,18120,34439,52562,18170,32916,51090,287219,160021,447242,316636,191828,508464,341408,224563,565977,991047,1025804,2016849,993445,1027032,2020483,1087303,1127276,2214580,168915,180433,349342,174198,186145,360342,187507,200256,387757,676290,694316,1370607,677976,693577,1371551,720025,739260,1459282,409839,440162,850000,438424,471647,910071,487654,524949,1012599
19499,6957,4779,11736,6959,4583,11549,5734,4381,10112,1522,761,2287,1322,656,1976,762,470,1229,470,531,1004,527,520,1048,410,506,910,215,152,371,190,117,307,216,155,370,641,422,1062,586,353,939,392,252,647,2852,1865,4716,2627,1651,4275,1775,1382,3161,2237,2150,4391,2183,1880,4059,1917,1722,3630,22.6,22.6,0,22.3,21.7,0,22.1,18.4,0,41,39,0,37.7,35.9,0,31,31.6,0,31.7,30.2,0,29.3,28.1,0,24.1,25.8,0,159,183,345,189,175,369,146,181,327,44,66,113,48,71,118,33,76,109,597,681,1277,572,677,1250,425,540,969,295,349,644,297,373,662,274,339,614,1083,362,1451,1060,353,1412,858,463,1326,69,95,164,68,66,126,55,72,127,66,125,190,104,91,196,74,104,176,1222,581,1804,1236,507,1738,985,636,1621,1337,811,2145,1574,844,2416,1117,690,1808,4154,3581,7736,3359,2842,6197,2858,2673,5527,878,479,1350,1030,547,1573,761,424,1186,4323,3700,8016,3734,3029,6763,3046,2835,5882
19799,56,54,107,158,221,377,0,0,0,18,6,18,28,23,47,0,0,0,0,0,3,7,20,27,0,0,0,8,3,13,22,31,51,0,0,0,0,0,0,3,5,3,0,0,0,22,13,28,60,71,133,0,0,0,26,38,65,73,110,184,0,0,0,0,0,0,3.4,4.1,3.8,0,0,0,40.7,18.5,29.6,37.8,33,35,50,0,50,40.7,18.5,29.6,36.5,31.7,33.7,50,0,50,0,0,0,7,5,9,0,0,0,0,0,0,0,0,0,0,0,0,7,0,9,7,21,33,0,0,0,3,3,4,10,17,29,0,0,0,19,9,25,42,17,59,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,9,8,0,0,0,24,7,29,39,31,75,0,0,0,46,47,90,137,187,324,0,0,0,9,6,13,18,19,39,0,0,0,35,32,68,103,141,248,0,0,0,20,13,38,45,62,107,0,0,0
2GMEL,1586979,1673817,3260798,1779168,1886349,3665512,1962857,2063309,4026163,782269,443862,1226132,832145,483492,1315640,907232,562704,1469932,192532,395013,587553,237278,457898,695178,295310,519954,815265,55749,58496,114243,47536,57150,104680,69660,90135,159793,57904,53551,111453,79222,74404,153627,72223,64529,136749,1088455,950919,2039385,1196175,1072949,2269121,1344420,1237324,2581742,409923,638743,1048662,476594,702546,1179144,520210,728373,1248587,5.3,5.6,5.5,6.6,6.9,6.8,5.4,5.2,5.3,68.6,56.8,62.5,67.2,56.9,61.9,68.5,60,64.1,64.9,53.6,59.1,62.8,52.9,57.7,64.8,56.8,60.7,81366,71440,152805,117202,116849,234053,173213,181691,354900,27660,48237,75903,33623,60942,94565,40653,79053,119704,246832,294139,540967,306974,370619,677593,384334,460950,845280,127167,158682,285845,152221,194793,347011,178603,222002,400602,291403,122689,414093,319172,151130,470298,330957,171472,502428,10160,19180,29348,10790,18700,29492,13256,20056,33315,15330,28989,44318,23100,36199,59299,24328,36706,61038,316900,170858,487757,353065,206028,559093,368539,228242,596777,1574510,1640812,3215322,1675032,1747493,3422525,1925590,1997651,3923241,269874,281776,551654,328555,342508,671065,353811,363352,717165,1045354,1098150,2143509,1096450,1151543,2247998,1223581,1285807,2509392,681917,711895,1393812,823351,858439,1681783,931590,957450,1889045
2RVIC,528675,558463,1087138,570374,602974,1173346,632831,667057,1299885,239676,115888,355565,234797,118912,353706,258855,141562,400417,59459,144078,203543,68494,156565,225059,82548,178279,260831,20354,20725,41078,18613,21200,39817,23987,30867,54852,17608,15085,32690,21485,17737,39222,17085,13343,30433,337097,295784,632881,343395,314417,657811,382476,364053,746527,164332,236043,400370,184564,244132,428696,208150,260462,468616,5.2,5.1,5.2,6.3,5.6,6,4.5,3.7,4.1,63.8,53,58.2,60.2,52.1,56.1,60.4,54.6,57.4,60.4,50.3,55.2,56.4,49.2,52.7,57.7,52.6,55.1,8787,8543,17323,11880,13869,25753,19767,24708,44470,6434,12924,19357,7889,16684,24569,10175,23466,33641,38260,61048,99312,45456,74420,119881,61061,97339,158407,32221,46256,78486,39013,60584,99596,47254,73056,120310,136140,60055,196197,151077,71970,223050,167466,88994,256457,4506,9539,14053,4836,9640,14471,5708,10148,15856,5166,9905,15072,8160,12725,20887,7944,11268,19215,145820,79500,225319,164073,94339,258407,181124,110407,291524,534189,554734,1088924,541896,561765,1103666,613342,636687,1250028,87779,94977,182758,88948,96643,185588,97247,104336,201582,364886,375582,740469,373930,383806,757734,404091,415291,819380,217626,236602,454231,228426,248100,476529,270040,290470,560515
29499,4135,3134,7267,3940,2881,6821,4576,3373,7946,1001,533,1533,808,383,1196,621,302,919,321,422,745,319,323,641,281,367,646,116,88,200,117,81,195,125,103,231,396,294,698,366,248,615,298,191,485,1842,1339,3179,1605,1043,2647,1324,961,2281,1254,1299,2556,1113,1176,2293,1218,1228,2447,21.7,22.2,0,22.8,24.1,0,22.6,19.6,0,44.6,42.6,0,40.8,36.1,0,28.9,28.4,0,34.9,33.2,0,31.5,27.4,0,22.4,22.9,0,109,137,245,131,105,237,114,129,239,40,60,98,29,59,93,35,69,98,422,520,939,343,453,792,337,365,701,205,224,421,191,216,403,161,208,372,639,255,888,538,241,778,614,336,949,48,58,106,21,34,58,54,54,112,47,58,104,44,56,96,50,41,90,729,362,1098,604,329,936,715,435,1148,761,521,1275,813,545,1351,847,576,1426,2635,2403,5043,2097,1862,3958,2008,1884,3889,497,307,806,530,315,849,538,340,876,2726,2463,5194,2234,1992,4223,2171,2008,4180
29799,34,0,38,24,0,27,36,6,38,32,0,31,18,0,18,7,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,33,0,30,24,0,24,7,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88.9,100,89.2,87.5,0,80.8,28.6,25,28.2,88.9,100,89.2,87.5,0,80.8,28.6,25,28.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,3,0,3,3,0,3,4,0,4,4,0,4,16,0,16,13,0,13,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,14,13,0,13,4,0,4,26,0,26,9,0,10,7,0,7,7,0,6,11,0,16,0,0,0,18,0,18,10,0,10,5,0,5,16,0,14,13,0,15,7,0,9
3GBRI,806646,844852,1651496,889382,937015,1826399,993517,1048582,2042096,408538,246357,654900,420744,260958,681705,451929,294634,746555,95311,201200,296517,113441,225859,339298,136556,247393,383943,28737,30464,59204,23838,28940,52780,46590,67692,114282,33167,29692,62863,45184,40456,85643,38964,33171,72132,565761,507715,1073479,603205,556216,1159426,674032,642881,1316910,196410,297528,493940,231492,324915,556411,268519,356436,624953,5.9,5.8,5.9,7.5,7.3,7.4,5.8,5.2,5.5,70.1,60.1,65,67.8,59.4,63.5,67.8,61.3,64.5,66,56.6,61.2,62.7,55,58.8,63.9,58.1,61,34471,29460,63928,45732,44124,89860,63361,65404,128765,10953,18409,29359,14107,24757,38865,18419,34900,53320,105732,133591,239317,125318,164231,289549,159408,209318,368727,57401,75314,132716,71247,95907,167147,84875,115575,200443,177194,76524,253721,198590,100881,299471,220186,127919,348099,7640,13390,21031,8140,12777,20919,11707,15782,27488,8410,15841,24248,12972,19869,32839,14388,21383,35771,193242,105754,298994,219704,133529,353230,246277,165078,411354,778955,807680,1586632,818685,849167,1667859,955457,992390,1947844,173576,181508,355090,194258,203428,397688,207313,219840,427147,465322,485561,950883,506043,525198,1031241,566250,586051,1152309,420533,441041,861569,463358,486800,950157,530775,564027,1094799
3RQLD,884962,908484,1793449,957407,994851,1952261,1043585,1092718,2136302,415463,230189,645651,409923,239779,649704,427292,266968,694264,96857,216896,313757,111620,239837,351456,133013,268864,401875,34218,31210,65427,28633,29727,58362,44572,55349,99920,35972,31987,67957,48398,40635,89032,35903,29830,65734,582507,510277,1092788,598580,549980,1148559,640774,621013,1261790,236508,343519,580028,276399,368034,644432,314690,394782,709475,6.2,6.3,6.2,8.1,7.4,7.8,5.6,4.8,5.2,65.8,56.2,60.9,62.5,55.3,58.8,61.4,56.8,59.1,61.8,52.6,57.1,57.5,51.2,54.3,58,54.1,56,15611,14863,30470,21134,22980,44113,31161,36640,67801,6887,13124,20013,9189,18574,27763,12009,26740,38744,64074,100250,164322,76601,125120,201724,97720,161536,259251,51095,76213,127315,64228,98453,162682,76694,117511,194202,237318,95967,333285,264306,122727,387036,287099,155545,442648,8933,16671,25603,9712,16268,25976,13086,19253,32336,9154,17628,26785,15256,23360,38617,15763,23150,38910,255402,130264,385672,289278,162358,451632,315950,197943,513891,836517,852344,1688862,866946,886343,1753291,962838,995946,1958785,194965,206498,401467,196693,211729,408422,207264,225565,432831,500573,505839,1006412,540888,544264,1085149,591906,602209,1194121,459205,485574,944782,475599,509433,985033,515115,560101,1075215
